ID,name,t,released,HH,era,linked
1,IA,1,1,0,0,0
2,IAII,27,1,0,0,0
3,IAv2,33,1,0,0,0
4,IAv3,10,1,0,0,0
5,IAv4,14,1,0,0,0
6,IAApoc,1,1,0,0,0
7,IAv5,11,1,0,0,1
8,IAv6,9,1,0,0,1
9,IAv7,11,1,0,0,1
10,IAApocII,4,1,0,0,0
11,IAv8,4,1,0,0,0
12,IAv9,5,1,0,0,1
13,IAv10,3,1,0,0,1
14,IAApoc2,8,1,0,0,0
15,IAv11,4,1,0,0,0
16,IAAero,5,1,0,0,0
17,IAv1/2,6,1,0,1,0
18,IAv12,4,1,0,1,0
19,IAv3/2,2,1,0,1,0
20,IAApoc6/7,2,1,0,1,0
21,IAv2/2,3,1,0,1,0
22,IAV4/2,8,1,0,1,0
23,IAv13,6,1,0,1,0
24,IAVraks,4,1,0,1,0
25,HH2,12,1,1,99,1
26,HH3,7,1,1,99,1
27,HH4,6,1,1,99,1
28,HH5,6,1,1,99,1
