ID,name,t,obsolete,faction,imperial,ig
1,IA,36,1,IG,1,1
2,IA2,85,1,All,0,0
3,IAv1,7,1,IG,1,1
4,IAv2,46,1,SM,1,0
5,IAv3,5,1,Tau,0,0
6,IAv3,43,1,IG,1,1
7,IAv3,36,1,SM,1,0
8,IAv4,37,1,Nid,0,0
9,IAv4,29,1,IG,1,1
10,IAApoc,19,1,All,0,0
11,IAv5,17,1,IG,1,1
12,IAv5,62,1,Chaos,0,0
13,IAv6,8,1,IG,1,1
14,IAv6,53,1,Chaos,0,0
15,IAv6,1,1,SM,1,0
16,IAv7,20,1,GK,1,0
17,IAv7,56,1,IG,1,1
18,IAv7,42,1,Chaos,0,0
19,IAApocII,30,1,All,0,0
20,IAv8,40,1,SM,1,0
21,IAv8,47,1,IG,1,1
22,IAv8,49,1,Ork,0,0
23,IAv9,35,1,SM,1,0
24,IAv10,32,1,SM,1,0
25,IAApoc2,9,1,All,0,0
26,IAv11,18,1,Eldar,0,0
27,IAv11,31,1,SW,1,0
28,IAv11,27,1,IG,1,1
29,IAAero,23,1,All,0,0
30,IAv1/2,17,1,IG,1,1
31,IAv12,5,1,SM,1,0
32,IAv12,12,1,IG,1,1
33,IAv12,9,1,Necron,0,0
34,IAv3/2,26,0,Tau,0,0
35,IAv3/2,10,0,IG,1,1
36,IAv3/2,3,1,SM,1,0
37,IAApoc6,24,0,All,0,0
38,Iav2/2,21,0,SM,1,0
39,Iav4/2,13,0,Nid,0,0
40,IAv4/2,13,0,IG,1,1
41,IAv13,10,0,Chaos,0,0
42,IAVraks,6,0,SM,1,0
43,IAVraks,6,0,IG,1,1
44,IAVraks,6,0,Chaos,0,0
